company_name,industry,primary_state,state_distribution,employees_au,employees_au_source,employees_global,total_income_aud,taxable_income_aud,tax_payable_aud,ato_data_source,avg_salary_override,notes,royalties_aud,prrt_aud
Rio Tinto,Mining,VIC,WA:65;NSW:10;QLD:10;VIC:8;NT:5;SA:2,16000,FY2024 Annual Report,57000,72400000000,12300000000,3690000000,annual_report_estimate,,"Australian head office in Melbourne. Pilbara iron ore operations dominant. Total income converted from USD at ~1.55 AUD/USD.",3500000000,0
Telstra Corporation,Information Media and Telecommunications,VIC,VIC:35;NSW:30;QLD:15;WA:10;SA:5;ACT:3;NT:1;TAS:1,29000,FY2024 Annual Report,31000,22800000000,2950000000,902000000,annual_report_estimate,"Australia's largest telecommunications company. Includes Telstra Enterprise and InfraCo."
Macquarie Group,Finance and Insurance Services,NSW,NSW:65;VIC:20;QLD:8;WA:5;ACT:2,18000,FY2024 Annual Report,20500,28400000000,3520000000,1056000000,annual_report_estimate,"Investment bank and asset manager. Very high revenue per employee. Australian employees estimated from total global count."
Fortescue Metals Group,Mining,WA,WA:90;SA:5;VIC:3;NSW:2,12000,FY2024 Annual Report,12500,25800000000,7960000000,2688000000,annual_report_estimate,,"Pilbara iron ore producer. Almost entirely Australian operations. Very high revenue per employee.",1600000000,0
Ramsay Health Care,Health Care and Social Assistance,NSW,NSW:30;VIC:25;QLD:20;WA:12;SA:8;ACT:3;TAS:2,40000,FY2024 Annual Report,85000,17900000000,820000000,252000000,annual_report_estimate,"Australian private hospital network. ~45k employees offshore (UK, France, Scandinavia, Malaysia). AU employee count estimated."
CSL Limited,Health Care and Social Assistance,VIC,VIC:55;NSW:25;QLD:10;WA:7;SA:3,8000,FY2024 Annual Report,32000,19200000000,3840000000,842000000,annual_report_estimate,"Biopharmaceutical company. Most operations offshore (US, Europe). Australian total income estimated from consolidated group filing."
Woodside Energy Group,Mining,WA,WA:85;VIC:8;NSW:5;NT:2,6500,FY2024 Annual Report,7200,19800000000,5510000000,1815000000,annual_report_estimate,,"LNG producer. Merged with BHP Petroleum (2022). North West Shelf and Pluto LNG dominant.",350000000,550000000
Santos,Mining,SA,SA:30;WA:25;NT:20;QLD:15;VIC:5;NSW:5,2800,FY2024 Annual Report,5000,8480000000,2510000000,820000000,annual_report_estimate,,"Oil and gas producer. Cooper Basin, Darwin LNG, PNG LNG and Gladstone LNG operations.",200000000,200000000
Origin Energy,Electricity Gas Water and Waste Services,NSW,NSW:35;QLD:25;VIC:18;SA:10;WA:8;ACT:2;NT:1;TAS:1,6000,FY2024 Annual Report,6400,19600000000,2020000000,625000000,annual_report_estimate,,"Energy retailer and APLNG gas producer. APLNG stake provides significant income at ATO level.",80000000,90000000
AGL Energy,Electricity Gas Water and Waste Services,NSW,NSW:40;VIC:28;SA:15;QLD:10;WA:5;TAS:2,5200,FY2024 Annual Report,5200,13100000000,1020000000,314000000,annual_report_estimate,"Major electricity generator and energy retailer. Loy Yang A power station, gas peakers."
Insurance Australia Group,Finance and Insurance Services,NSW,NSW:40;VIC:25;QLD:15;WA:10;SA:7;ACT:2;NZ:1,15000,FY2024 Annual Report,34000,22800000000,1640000000,472000000,annual_report_estimate,"NRMA Insurance, CGU, SGIO and NZI brands. ~19k employees offshore (NZ and Asia)."
Suncorp Group,Finance and Insurance Services,QLD,QLD:45;NSW:25;VIC:15;WA:8;SA:5;ACT:2,14000,FY2024 Annual Report,16000,16400000000,1380000000,398000000,annual_report_estimate,"AAMI, GIO, Vero and Suncorp Bank (sold to ANZ 2024). Queensland-headquartered."
Sonic Healthcare,Health Care and Social Assistance,NSW,NSW:40;VIC:25;QLD:15;WA:12;SA:8,18000,FY2024 Annual Report,43000,9820000000,1045000000,298000000,annual_report_estimate,"Pathology and radiology services. Significant offshore presence (Germany, USA, UK). AU revenue ~A$3.5B of A$9.8B total."
Ramsay Health Care already counted. Using Healthscope instead as private hospital alternative.,Health Care and Social Assistance,VIC,VIC:30;NSW:30;QLD:18;WA:12;SA:8;TAS:2,18000,Estimate,18000,3100000000,280000000,84000000,estimated,"Private hospital operator. Acquired by Brookfield 2019 (private)."
Downer Group,Construction,NSW,NSW:35;VIC:20;QLD:20;WA:15;SA:6;ACT:2;NT:1;TAS:1,35000,FY2024 Annual Report,50000,12200000000,580000000,174000000,annual_report_estimate,"Infrastructure services and utilities. NZ and SE Asia operations included in global count."
CIMIC Group (CPB Contractors),Construction,NSW,NSW:35;VIC:20;QLD:20;WA:15;SA:7;NT:2;ACT:1,25000,FY2024 Annual Report,48000,15200000000,810000000,243000000,annual_report_estimate,"Engineering and construction. Subsidiary of ACS Group (Spain). Significant offshore operations."
BlueScope Steel,Construction,NSW,NSW:55;VIC:20;QLD:10;SA:8;WA:7,15000,FY2024 Annual Report,20000,14800000000,1620000000,486000000,annual_report_estimate,"Steel manufacturer. Port Kembla steelworks, COLORBOND and BlueScope Buildings. ~5k offshore (US, NZ, Asia)."
Lendlease Group,Construction,NSW,NSW:45;VIC:25;QLD:15;WA:8;SA:5;ACT:2,8000,FY2024 Annual Report,10000,10200000000,540000000,162000000,annual_report_estimate,"Construction, development and investment management. Significant global operations. Divesting international construction."
JB Hi-Fi,Retail Trade,VIC,VIC:30;NSW:28;QLD:18;WA:10;SA:8;ACT:3;TAS:2;NT:1,14000,FY2024 Annual Report,14500,9900000000,768000000,230000000,annual_report_estimate,"Consumer electronics retailer. The Good Guys included. ~500 employees in NZ."
Harvey Norman Holdings,Retail Trade,NSW,NSW:32;VIC:25;QLD:18;WA:12;SA:8;ACT:3;TAS:2,15000,FY2024 Annual Report,40000,8600000000,840000000,252000000,annual_report_estimate,"Electronics and furniture retailer. Franchised model. ~25k offshore (NZ, Ireland, Slovenia, Malaysia)."
Myer Holdings,Retail Trade,VIC,VIC:32;NSW:28;QLD:18;WA:10;SA:8;ACT:3;TAS:1,10000,FY2024 Annual Report,10000,3180000000,142000000,43000000,annual_report_estimate,"Department store chain. Struggling with competition from online retail. Recently merged with Premier Retail."
Endeavour Group,Retail Trade,NSW,NSW:33;VIC:28;QLD:18;WA:10;SA:7;ACT:2;TAS:1;NT:1,28000,FY2024 Annual Report,28000,11900000000,960000000,288000000,annual_report_estimate,"Demerged from Woolworths 2021. BWS, Dan Murphy's liquor stores and ALH Hotels (~350 pubs)."
Transurban Group,Transport Postal and Warehousing,VIC,VIC:45;NSW:40;QLD:10;ACT:5,3000,FY2024 Annual Report,9400,3820000000,820000000,246000000,annual_report_estimate,"Toll road operator. CityLink (Melbourne), Hills M2, M5 East, Gateway (Brisbane) and North American toll roads."
Scentre Group,Finance and Insurance Services,NSW,NSW:50;VIC:25;QLD:15;WA:7;SA:3,3500,FY2024 Annual Report,3500,3450000000,1280000000,384000000,annual_report_estimate,"Owns and operates Westfield shopping centres in Australia and NZ. REIT structure. Small workforce relative to asset value."
GPT Group,Finance and Insurance Services,NSW,NSW:60;VIC:30;QLD:8;ACT:2,600,FY2024 Annual Report,600,1520000000,780000000,234000000,annual_report_estimate,"Property REIT: retail, office and logistics. Very high revenue per employee. Finance/Property REIT structure."
Stockland Corporation,Finance and Insurance Services,NSW,NSW:55;VIC:20;QLD:15;WA:5;SA:3;ACT:2,1500,FY2024 Annual Report,1500,3200000000,680000000,204000000,annual_report_estimate,"Diversified REIT: residential communities, workplace and logistics. Low employee count relative to assets."
Ampol (formerly Caltex),Mining,NSW,NSW:40;VIC:20;QLD:18;WA:12;SA:7;ACT:2;NT:1,7000,FY2024 Annual Report,8500,33400000000,1250000000,375000000,annual_report_estimate,"Fuel refining and retail. High total income from fuel sales but thin margins. Lytton Refinery (QLD)."
Viva Energy Group,Mining,VIC,VIC:30;NSW:25;QLD:18;WA:15;SA:7;NT:3;TAS:2,2500,FY2024 Annual Report,3000,26800000000,820000000,246000000,annual_report_estimate,"Shell fuel brand licensee. Refinery at Geelong. High revenue, thin margins."
South32,Mining,WA,WA:50;QLD:30;NSW:10;VIC:5;NT:5,4500,FY2024 Annual Report,18500,11200000000,1840000000,552000000,annual_report_estimate,,"Demerged from BHP 2015. Worsley alumina (WA), Appin coal (NSW), Illawarra metallurgical coal. Significant global ops.",330000000,0
Newmont (formerly Newcrest),Mining,VIC,VIC:40;WA:35;NSW:12;QLD:8;NT:5,3500,FY2024 Annual Report,40000,4800000000,680000000,204000000,annual_report_estimate,,"Gold miner. Newcrest merged with Newmont (US) 2023. Cadia (NSW), Telfer (WA), Lihir (PNG) operations. Australian employee count only.",160000000,0
AMP Limited,Finance and Insurance Services,NSW,NSW:55;VIC:30;QLD:8;WA:5;ACT:2,4500,FY2024 Annual Report,5200,8200000000,420000000,126000000,annual_report_estimate,"Wealth management and banking. Significantly smaller since divestments (AMP Capital, life insurance). Includes NZ operations."
Medibank Private,Finance and Insurance Services,VIC,VIC:40;NSW:35;QLD:12;WA:8;SA:4;ACT:1,3600,FY2024 Annual Report,3600,7850000000,680000000,204000000,annual_report_estimate,"Private health insurer. Government-owned until 2014 IPO. ahm brand included."
REA Group,Information Media and Telecommunications,VIC,VIC:50;NSW:35;QLD:8;WA:5;SA:2,3000,FY2024 Annual Report,7200,1620000000,845000000,254000000,annual_report_estimate,"Realestate.com.au owner. Majority owned by News Corp. Significant investments in India (PropTiger) and Asia."
SEEK Limited,Information Media and Telecommunications,VIC,VIC:50;NSW:35;QLD:8;WA:5;SA:2,3000,FY2024 Annual Report,10000,1580000000,620000000,186000000,annual_report_estimate,"Online employment marketplace. Significant stake in Zhaopin (China) and Asia Pacific. Very high revenue per AU employee."
WiseTech Global,Information Media and Telecommunications,NSW,NSW:60;VIC:25;QLD:8;WA:5;SA:2,3400,FY2024 Annual Report,4200,954000000,412000000,124000000,annual_report_estimate,"CargoWise logistics software. Highly profitable tech company. Growing through acquisitions globally."
Xero,Information Media and Telecommunications,VIC,VIC:50;NSW:30;QLD:10;WA:7;SA:3,2000,FY2024 Annual Report,5300,1840000000,185000000,56000000,annual_report_estimate,"Cloud accounting software. New Zealand-founded, now dual-listed. Most Australian employees in Melbourne HQ."
Afterpay / Block AU,Finance and Insurance Services,NSW,NSW:55;VIC:35;QLD:5;WA:3;SA:2,4000,FY2024 Annual Report,8600,5400000000,180000000,54000000,annual_report_estimate,"Buy-now-pay-later. Acquired by Block Inc (Square) 2022. Very high global revenue/employee; AU employee count estimated from public filings."
Atlassian AU (Australian operations),Information Media and Telecommunications,NSW,NSW:65;VIC:25;QLD:6;WA:4,3000,FY2024 Estimate,12000,1200000000,280000000,84000000,estimated,"Software company. Dual-listed on NASDAQ. Only Australian operating entity income included. Very high global revenue/employee but lower AU-attributable revenue."
CAR Group (Carsales.com),Information Media and Telecommunications,VIC,VIC:55;NSW:30;QLD:8;WA:5;SA:2,1500,FY2024 Annual Report,4200,1020000000,420000000,126000000,annual_report_estimate,"Online automotive marketplace. International expansion to Korea (Encar), Brazil and US. Very high revenue per employee."
Nine Entertainment,Information Media and Telecommunications,NSW,NSW:50;VIC:30;QLD:12;WA:5;SA:3,5000,FY2024 Annual Report,5000,2920000000,380000000,114000000,annual_report_estimate,"TV broadcasting (9 Network), newspapers (Sydney Morning Herald, The Age), Domain and Stan streaming."
Incitec Pivot (Dyno Nobel),Mining,VIC,VIC:30;QLD:25;WA:20;NSW:15;SA:7;NT:3,5000,FY2024 Annual Report,7500,5600000000,460000000,138000000,annual_report_estimate,,"Explosives and fertilisers. Dyno Nobel brand globally. Significant US explosives operations.",30000000,0
